term_or_phrase,common_abbreviation,type,chinese,category,scenario,definition_en,definition_cn,example_sentence,translation,difficulty,source_section,knowledge_source,standard_classification,business_domain,term_frequency_level,business_scenario
bargain purchase,,phrase,廉价购买,Business combinations,低价收购收益 | M&A gain; negative goodwill | IFRS 3,A business combination in which the net identifiable assets acquired exceed the consideration transferred and related interests.,议价购买，是指取得的可辨认净资产超过转让对价及相关权益的企业合并。,Any gain on a bargain purchase is recognised in profit or loss immediately.,廉价购买产生的任何收益应立即确认为损益。,advanced,Illust_FS(12.25).txt: line 6415 | IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 78; IFRS 3 | IFRS专业词汇.xlsx/Sheet1 row 174 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 4637 | example: isg-2026-ifs.txt: line 7255,IFRS/HKFRS standards term library,IFRS 3,Business combinations,5 - Very high / core,Financial reporting
business combination,,phrase,企业合并,Business combinations,并购会计、商誉确认 | M&A; acquisition accounting; IPO history | IFRS 3,A transaction or event in which an acquirer obtains control of one or more businesses.,企业合并，是指购买方取得一项或多项业务控制权的交易或事项。,The cost of an intangible asset acquired in a business combination is its fair value.,通过企业合并取得的无形资产的成本为其公允价值。,intermediate,Illust_FS(12.25).txt: line 2634 | IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 66; IFRS 3 | IFRS专业词汇.xlsx/Sheet1 row 145 | IFRS专业词汇.xlsx/Sheet1 row 168 | example: isg-2026-ifs.txt: line 7476 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 4658 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 7340,IFRS/HKFRS standards term library,IFRS 3,Fair value / Valuation,5 - Very high / core,IPO
consideration transferred,,phrase,转让对价,Business combinations,企业合并购买对价 | M&A note; purchase price allocation | IFRS 3,"consideration transferred is a professional expression used in valuation or fair value measurement, including inputs, techniques or measurement outcomes.",转让对价，是估值或公允价值计量中的专业表达，通常涉及输入值、估值技术或计量结果。,The following table summarises the acquisition date fair value of each major class of consideration transferred.,下表汇总了每类主要转让对价在购买日的公允价值。,intermediate,isg-2025-insights-an-overview.txt: line 525 | IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 72; IFRS 3 | IFRS专业词汇.xlsx/Sheet1 row 147 | IFRS专业词汇.xlsx/Sheet1 row 172 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 4146 | example: isg-2026-ifs.txt: line 6561,IFRS/HKFRS standards term library,IFRS 3,Fair value / Valuation,4 - High,Valuation
contingent consideration,,phrase,或有对价,Business combinations,并购对赌和未来付款 | earn-out; valuation | IFRS 3,"contingent consideration is a professional expression used in valuation or fair value measurement, including inputs, techniques or measurement outcomes.",或有对价，是估值或公允价值计量中的专业表达，通常涉及输入值、估值技术或计量结果。,"The Group has included EUR 250 thousand as contingent consideration related to the additional consideration, which represents its fair value at the date of acquisition.",本集团已将25万欧元作为与额外对价相关的或有对价计入，该金额为其在购买日的公允价值。,advanced,isg-2026-ifs.txt: line 362 | IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 73; IFRS 3 | IFRS专业词汇.xlsx/Sheet1 row 176 | example: isg-2026-ifs.txt: line 1130 | example: isg-2026-ifs.txt: line 6598,IFRS/HKFRS standards term library,IFRS 3,Fair value / Valuation,5 - Very high / core,Valuation
goodwill,,term,商誉,Business combinations,并购会计和减值测试 | M&A; impairment; annual report note | IFRS 3,An asset representing future economic benefits arising from assets acquired in a business combination that are not individually identified and separately recognised.,商誉，是指企业合并中取得但无法单独辨认并分别确认的资产所产生未来经济利益的资产。,"All other expenditure, including expenditure on internally generated goodwill and brands, is recognised in profit or loss as incurred.",所有其他支出，包括内部产生的商誉和品牌的支出，均在发生时确认为损益。,basic,Illust_FS(12.25).txt: line 557 | IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 77; IFRS 3 | IFRS专业词汇.xlsx/Sheet1 row 72 | IFRS专业词汇.xlsx/Sheet1 row 173 | example: Illust_FS(12.25).txt: line 6715 | example: isg-2025-insights-an-overview.txt: line 1061 | example: isg-2026-ifs.txt: line 7578,IFRS/HKFRS standards term library,IFRS 3,Business combinations,5 - Very high / core,Financial reporting
identifiable assets acquired,,phrase,取得的可辨认资产,Business combinations,购买价格分摊 | purchase price allocation | IFRS 3,"identifiable assets acquired is a professional expression used in business combination accounting, including identifying the acquirer, measuring consideration or recognising acquired assets and liabilities.",取得的可辨认资产，是企业合并会计中的专业表达，通常涉及识别购买方、计量对价或确认取得的资产和负债。,Identifiable assets acquired and liabilities assumed (continued),所取得的可辨认资产及所承担的负债（续）,intermediate,isg-2025-insights-an-overview.txt: line 537 | IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 74; IFRS 3 | IFRS专业词汇.xlsx/Sheet1 row 148 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 4374 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 3895 | example: isg-2026-ifs.txt: line 6635,IFRS/HKFRS standards term library,IFRS 3,Business combinations,4 - High,Financial reporting
cash,,term,现金,Cash flows,cash and cash equivalents,cash is a professional expression used in cash flow presentation or classification.,现金，是现金流量列报或分类中的专业表达。,"In our view, such disclosure is required in the statement of cash flows, rather than in the notes.",我们认为，此类披露应在现金流量表中作出，而非在附注中作出。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 358; IAS 7 | example: HKIPO-87. Illustrative IPO Final Deliverables (03-2024).txt: line 831 | example: Illust_FS(12.25).txt: line 3513 | example: isg-2026-ifs.txt: line 1021,IFRS/HKFRS standards term library,IAS 7,Cash flows,5 - Very high / core,IPO
cash and cash equivalents,CCE,phrase,现金及现金等价物,Cash flows,资产负债表和现金流量表 | 现金/现金流,"cash and cash equivalents is a professional expression used in IFRS/HKFRS financial reporting, audit, valuation or disclosure contexts.",现金及现金等价物，是IFRS/HKFRS财务报告、审计、估值或披露语境中的专业表达。,Net debt is calculated as total liabilities (as shown in the statement of financial position) less cash and cash equivalents.,净债务按负债总额（如财务状况表所示）减去现金及现金等价物计算。,basic,HKIPO-87. Illustrative IPO Final Deliverables (03-2024).txt: line 325 | IFRS专业词汇.xlsx/Sheet1 row 56 | example: Model Accounts.txt: line 2266 | example: isg-2026-ifs.txt: line 4107,IFRS professional vocabulary,IAS 1,IPO / Listing,5 - Very high / core,IPO
cash equivalents,,phrase,现金等价物,Cash flows,cash flow statement,cash equivalents is a professional expression used in cash flow presentation or classification.,现金等价物，是现金流量列报或分类中的专业表达。,Subsequent measurement determines how cash equivalents is reported.,后续计量决定了现金等价物的报告方式。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 359; IAS 7 | example: Illust_FS(12.25).txt: line 3508 | example: Model Accounts.txt: line 2266 | example: isg-2026-ifs.txt: line 4107,IFRS/HKFRS standards term library,IAS 7,Cash flows,5 - Very high / core,Financial reporting
cash flows,,phrase,现金流量,Cash flows,cash flow statement,cash flows is a professional expression used in cash flow presentation or classification.,现金流量，是现金流量列报或分类中的专业表达。,A materiality assessment determines how cash flows should be presented.,重要性评估决定现金流量应如何列报。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 360; IAS 7 | example: Illust_FS(12.25).txt: line 3137 | example: Illust_FS(12.25).txt: line 8151 | example: isg-2026-ifs.txt: line 1021,IFRS/HKFRS standards term library,IAS 7,Cash flows,5 - Very high / core,Financial reporting
direct method,,phrase,直接法,Cash flows,operating cash flow presentation,direct method is a professional expression used in cash flow presentation or classification.,直接法，是现金流量列报或分类中的专业表达。,The Group has elected to present cash flows from operating activities under the indirect method.,本集团选择采用间接法列报经营活动现金流量。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 364; IAS 7 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 2056 | example: isg-2026-ifs.txt: line 976,IFRS/HKFRS standards term library,IAS 7,Cash flows,5 - Very high / core,Financial reporting
financing activities,,phrase,筹资活动,Cash flows,现金流量分类 | statement of cash flows | 现金流,financing activities is a professional expression used in cash flow presentation or classification.,筹资活动，是现金流量列报或分类中的专业表达。,"The table below details changes in the Group's liabilities from financing activities, including both cash and non-cash changes.",下表详列本集团融资活动产生的负债变动，包括现金及非现金变动。,basic,HKIPO-87. Illustrative IPO Final Deliverables (03-2024).txt: line 536 | IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 363; IAS 7 | IFRS专业词汇.xlsx/Sheet1 row 139 | example: Model Accounts.txt: line 4544 | example: Illust_FS(12.25).txt: line 8037,IFRS/HKFRS standards term library,IAS 7,Cash flows,5 - Very high / core,IPO
indirect method,,phrase,间接法,Cash flows,operating cash flow presentation,indirect method is a professional expression used in cash flow presentation or classification.,间接法，是现金流量列报或分类中的专业表达。,The revenue policy sets out how indirect method is assessed.,收入政策载明了间接法的评估方式。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 365; IAS 7 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 2056 | example: isg-2026-ifs.txt: line 976,IFRS/HKFRS standards term library,IAS 7,Cash flows,5 - Very high / core,Financial reporting
investing activities,,phrase,投资活动,Cash flows,现金流量分类 | statement of cash flows | 现金流,investing activities is a professional expression used in cash flow presentation or classification.,投资活动，是现金流量列报或分类中的专业表达。,Cash distributions from these investees will be included in cash flows from investing activities.,来自这些被投资方的现金分配将列入投资活动现金流量。,basic,HKIPO-87. Illustrative IPO Final Deliverables (03-2024).txt: line 506 | IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 362; IAS 7 | IFRS专业词汇.xlsx/Sheet1 row 138 | example: isg-2026-ifs.txt: line 1032 | example: isg-2026-ifs.txt: line 8083,IFRS/HKFRS standards term library,IAS 7,Cash flows,5 - Very high / core,IPO
